tcp_variant,txpackets,rxpackets,throughput,meandelay,packetloss
ns3::TcpIllinois,1,5546,5342,2.44753,0.332187,3.67833
ns3::TcpIllinois,2,3,3,0.0001344,0.581599,0
ns3::TcpIllinois,3,351,350,0.0163856,0.0035477,0.2849
ns3::TcpIllinois,4,302,301,0.014136,0.00394265,0.331126
ns3::TcpIllinois,5,2857,2857,0.124954,0.000912489,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.0062855,0
ns3::TcpIllinois,7,686,601,0.724357,0.421037,12.3907
ns3::TcpIllinois,8,581,507,0.610934,0.423013,12.7367
ns3::TcpIllinois,1,7877,7621,3.4513,0.289641,3.24997
ns3::TcpIllinois,2,3,3,0.0001344,0.52916,0
ns3::TcpIllinois,3,431,430,0.0203072,0.00354485,0.232019
ns3::TcpIllinois,4,414,413,0.0191728,0.00349952,0.241546
ns3::TcpIllinois,5,3811,3811,0.158541,0.000436415,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.00515853,0
ns3::TcpIllinois,7,744,721,0.869039,0.384774,3.0914
ns3::TcpIllinois,8,751,711,0.857413,0.379909,5.32623
ns3::TcpIllinois,1,9736,9736,4.40502,0.222196,0
ns3::TcpIllinois,2,3,3,0.0001344,0.449745,0
ns3::TcpIllinois,3,444,443,0.018992,0.000882496,0.225225
ns3::TcpIllinois,4,354,353,0.015248,0.000954813,0.282486
ns3::TcpIllinois,5,4869,4869,0.202554,0.000333966,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.00509652,0
ns3::TcpIllinois,7,879,879,1.05787,0.344331,0
ns3::TcpIllinois,8,697,697,0.837956,0.370761,0
ns3::TcpIllinois,1,9736,9736,4.40502,0.168954,0
ns3::TcpIllinois,2,3,3,0.0001344,0.379258,0
ns3::TcpIllinois,3,367,366,0.0160688,0.000800373,0.27248
ns3::TcpIllinois,4,394,393,0.016632,0.000693019,0.253807
ns3::TcpIllinois,5,4869,4869,0.202554,0.000321116,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.00262336,0
ns3::TcpIllinois,7,722,722,0.86685,0.276396,0
ns3::TcpIllinois,8,781,781,0.940431,0.278132,0
ns3::TcpIllinois,1,9772,9767,4.45901,0.143865,0.0511666
ns3::TcpIllinois,2,3,3,0.0001344,0.372669,0
ns3::TcpIllinois,3,1185,1184,0.054816,0.000460551,0.0843882
ns3::TcpIllinois,4,1234,1233,0.0557984,0.000407738,0.0810373
ns3::TcpIllinois,5,5074,5074,0.214678,0.000267759,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.00477119,0
ns3::TcpIllinois,7,2019,2011,0.944227,0.221251,0.396236
ns3::TcpIllinois,8,2118,2112,0.991859,0.212498,0.283286
ns3::TcpIllinois,1,9736,9736,4.40502,0.114373,0
ns3::TcpIllinois,2,3,3,0.0001344,0.366097,0
ns3::TcpIllinois,3,332,331,0.0140528,0.000593793,0.301205
ns3::TcpIllinois,4,416,415,0.0220272,0.000530961,0.240385
ns3::TcpIllinois,5,4869,4869,0.202554,0.000218512,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.000936695,0
ns3::TcpIllinois,7,658,658,0.791529,0.182043,0
ns3::TcpIllinois,8,802,802,0.955028,0.167972,0
ns3::TcpIllinois,1,9736,9736,4.40502,0.100523,0
ns3::TcpIllinois,2,3,3,0.0001344,0.754209,0
ns3::TcpIllinois,3,353,352,0.0157664,0.000496461,0.283286
ns3::TcpIllinois,4,728,727,0.0333264,0.000386003,0.137363
ns3::TcpIllinois,5,4870,4870,0.202595,0.000218881,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.0300311,0
ns3::TcpIllinois,7,694,694,0.832486,0.15549,0
ns3::TcpIllinois,8,1437,1437,1.72616,0.099815,0
ns3::TcpIllinois,1,9736,9736,4.40502,0.0939504,0
ns3::TcpIllinois,2,3,3,0.0001344,0.360888,0
ns3::TcpIllinois,3,347,346,0.0149568,0.000442087,0.288184
ns3::TcpIllinois,4,343,342,0.0150704,0.000532717,0.291545
ns3::TcpIllinois,5,4875,4875,0.202803,0.00021036,0
ns3::TcpIllinois,6,3,3,9.6e-05,0.00464411,0
ns3::TcpIllinois,7,686,686,0.824536,0.146953,0
ns3::TcpIllinois,8,675,675,0.810013,0.150244,0
ns3::TcpWestwoodPlus,1,5401,5311,2.43368,0.248945,1.66636
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.471106,0
ns3::TcpWestwoodPlus,3,391,390,0.0178768,0.0017772,0.255754
ns3::TcpWestwoodPlus,4,245,244,0.0114832,0.00471658,0.408163
ns3::TcpWestwoodPlus,5,2794,2794,0.121194,0.0023845,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.00302671,0
ns3::TcpWestwoodPlus,7,752,699,0.843178,0.17727,7.04787
ns3::TcpWestwoodPlus,8,469,422,0.508118,0.213742,10.0213
ns3::TcpWestwoodPlus,1,7152,7059,3.23397,0.196028,1.30034
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.417161,0
ns3::TcpWestwoodPlus,3,486,485,0.0223968,0.00308809,0.205761
ns3::TcpWestwoodPlus,4,458,457,0.0226128,0.00831159,0.218341
ns3::TcpWestwoodPlus,5,3657,3657,0.156947,0.000715977,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.00045804,0
ns3::TcpWestwoodPlus,7,909,872,1.05113,0.201686,4.07041
ns3::TcpWestwoodPlus,8,826,806,0.967669,0.19606,2.42131
ns3::TcpWestwoodPlus,1,9735,9671,4.37626,0.230703,0.657422
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.448886,0
ns3::TcpWestwoodPlus,3,483,482,0.0208944,0.000842854,0.207039
ns3::TcpWestwoodPlus,4,434,433,0.021376,0.00100889,0.230415
ns3::TcpWestwoodPlus,5,4836,4836,0.201181,0.000360224,0
ns3::TcpWestwoodPlus,6,3,3,9.6e-05,0.000975362,0
ns3::TcpWestwoodPlus,7,954,954,1.1474,0.351227,0
ns3::TcpWestwoodPlus,8,842,841,1.00517,0.353428,0.118765
ns3::TcpWestwoodPlus,1,9636,9632,4.40923,0.121146,0.041511
ns3::TcpWestwoodPlus,2,3,3,0.0001344,0.380026,0
ns3::TcpWestwoodPlus,3,1106,1105,0.0503712,0.000520251,0.0904159
